PATH,PROGRAMA,RESOLUCION,IMAGEN_FONDO,TITULO_A_OBTENER,DOBLE_TITULACION,DESCRIPCION,META_DESCRIPCION,MODALIDAD,TIPO,DURACION,URL_SITIOWEB,URL_BROCHURE,PIXEL_GTM,title
maestria-en-administracion-empresas-must,Maestria en Administracion de Empresas,RPC-SO-37-No.653-2023,/informacion/postgrado/maestria-en-administracion-empresas-must/images/background.jpg,"Magíster en Administración de Empresas, Universidad Espíritu Santo, Ecuador. | Master of Science in Business Administration, Must University, Estados Unidos.",Obtén tu doble títulación con MUST University,"Profesionales de tercer nivel de grado preferentemente con títulos afines al campo de Administración, para otros campos como: Educación; Ciencias Sociales y del Comportamiento; Artes y Humanidades; Ciencias Sociales, Periodismo, Información y Derecho; Ciencias naturales, matemáticas y estadística; Tecnologías de la Información y comunicación (TIC); Ingeniería, Industria y Construcción; Agricultura, silvicultura, pesca y veterinaria; Salud y Bienestar; y, Servicios se solicita 1 año de experiencia profesional.","Profesionales de tercer nivel de grado preferentemente con títulos afines al campo de Administración, para otros campos como: Educación; Ciencias Sociales y...",Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-administracion-empresas-must?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://uees.edu.ec/descargas/postgrado/maestria-en-administracion-de-empresas.pdf,GTM-58CRP56,Maestría en Administración de Empresas
maestria-en-administracion-publica,ESAI Maestria en Administracion Publica OnLine,RPC-SO-10-No.191-2020,/informacion/postgrado/maestria-en-administracion-publica/images/background.jpg,Magíster en Administración Pública,,"La Maestría en Administración Pública 100% en línea está dirigida a profesionales con títulos de tercer nivel preferentemente ingenieros o licenciados en administración, (ingenieros o licenciados en gestión financiera, ingenieros o licenciados en contabilidad y auditoría, licenciados o ingenieros en administración, licenciados o ingenieros en mercadotecnia y publicidad, licenciados o ingenieros en comercio) para las otras áreas de conocimiento: licenciados en educación, ciencias sociales y del comportamiento (economista, licenciados en ciencias políticas y psicólogos), licenciados en derecho, ingenieros en tecnologías de la información y comunicación (TIC), ingenieros industriales, médicos, ingenieros civiles, arquitectos, se solicita 1 año de experiencia profesional.",La Maestría en Administración Pública 100% en línea está dirigida a profesionales con títulos de tercer nivel preferentemente ingenieros o licenciados en...,Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-administracion-publica?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://webservices.uees.edu.ec/brochure/postgradoonline/Maestria%20en%20Administracion%20Publica%20OnLine.pdf,GTM-58CRP56,ESAI Maestría en Administración Pública Online
maestria-en-auditoria-integral-y-gestion-empresarial,Maestria en Auditoria Integral y Gestion Empresarial OnLine,RPC-SO-14-No.288-2020,/informacion/postgrado/maestria-en-auditoria-integral-y-gestion-empresarial/images/background.jpg,Magíster en Auditoría Integral y Gestión Empresarial,,"La Maestría en Auditoría Integral y Gestión Empresarial 100% en línea está dirigida a profesionales de tercer nivel de grado con títulos de Ingenieros, licenciados; preferentemente afines al campo de Administración, para los campos de Educación, Ciencias Sociales, Periodismo, Información y Derecho, Tecnologías de la Información y comunicación (TIC), Ingeniería, Industria y Construcción, Salud y Bienestar (medicina) se solicita un año de experiencia profesional afín al programa.","La Maestría en Auditoría Integral y Gestión Empresarial 100% en línea está dirigida a profesionales de tercer nivel de grado con títulos de Ingenieros,...",Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-auditoria-integral-y-gestion-empresarial?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://uees.edu.ec/colombia/site/uploads/descargas/maestrias/maestria-online-en-auditoria-integral-y-gestion-empresarial.pdf,GTM-58CRP56,Maestría en Auditoría Integral y Gestión Empresarial Online
maestria-en-banca-y-gestion-de-mercados-financieros,Maestria en Banca y Gestion de Mercados Financieros OnLine,RPC-SO-10-No.191-2020,/informacion/postgrado/maestria-en-banca-y-gestion-de-mercados-financieros/images/background.jpg,Magíster en Banca y Gestión de Mercados Financieros,,"Dirigido a profesionales de tercer nivel de grado con títulos de Ingenieros, licenciados; preferentemente afines al campo de Administración, para los campos de Educación, Ciencias Sociales, Periodismo, Información y Derecho, Tecnologías de la Información y comunicación (TIC), Ingeniería, Industria y Construcción, Salud y Bienestar (medicina) se solicita 1 año de experiencia profesional afín al programa.","Dirigido a profesionales de tercer nivel de grado con títulos de Ingenieros, licenciados; preferentemente afines al campo de Administración, para los campos de...",Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-banca-y-gestion-de-mercados-financieros?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://webservices.uees.edu.ec/brochure/postgradoonline/Maestria%20en%20Banca%20y%20Gestion%20de%20Mercados%20Financieros%20OnLine.pdf,GTM-58CRP56,Maestría en Banca y Gestión de Mercados Financieros Online
maestria-en-branding-y-transmedia,Maestría en Branding y Transmedia OnLine,RPC-SO-23-No.392-2024,/informacion/postgrado/maestria-en-branding-y-transmedia/images/background.jpg,"Magíster en Branding y Transmedia, UEES, Ecuador. | Master of Science in Marketing: Major in Branding y Transmedia, GFU, Estados Unidos.",Obtén tu doble titulación con GFU,La Maestría en Branding y Transmedia en línea está dirigida a profesionales de tercer nivel de grado (debidamente registrado en el Sistema Nacional de Información de Educación Superior del Ecuador (SNIESE)) preferentemente en el campo de técnicas audiovisuales y producción para medios de comunicación; diseño; periodismo y comunicación o marketing y publicidad. Para los demás campos se solicita al menos 1 año de experiencia profesional en el área del programa.,La Maestría en Branding y Transmedia en línea está dirigida a profesionales de tercer nivel de grado (debidamente registrado en el Sistema Nacional de...,Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-branding-y-transmedia?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://webservices.uees.edu.ec/brochure/postgradoonline/Maestr%C3%ADa%20en%20Branding%20y%20Transmedia%20OnLine.pdf,GTM-58CRP56,Maestría en Branding y Transmedia Online
maestria-en-ciberseguridad,Maestría en ciberseguridad Online,RPC-SO-24-No.410-2024,/informacion/postgrado/maestria-en-ciberseguridad/images/background.jpg,"Magíster en Ciberseguridad, Universidad Espíritu Santo, Ecuador. | Máster en Ciberseguridad, Análisis e Ingeniería , Universidad Católica de Murcia UCAM.",Obtén tu doble títulación,"La Maestría en Ciberseguridad está dirigida a profesionales de tercer nivel de grado (debidamente registrado en el Sistema Nacional de Información de Educación Superior del Ecuador (SNIESE)) preferentemente en el campo amplio de Ingeniería, Industria y Construcción; Tecnologías de la Información y Comunicación (TIC); Ciencias Naturales, Matemáticas y Estadísticas o afines. Para los campos de Educación, Ciencias Sociales, Periodismo e Información; Administración de Empresas y Derecho; y, Salud se solicita al menos 1 año de experiencia profesional en el área del programa.",La Maestría en Ciberseguridad está dirigida a profesionales de tercer nivel de grado (debidamente registrado en el Sistema Nacional de Información de Educación...,Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-ciberseguridad?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,,GTM-58CRP56,Maestría en Ciberseguridad Online
maestria-en-comunicacion-marketing-y-negocios,Maestria en comunicacion marketing y negocios,RPC-SO-11-No.196-2024,/informacion/postgrado/maestria-en-comunicacion-marketing-y-negocios/images/background.jpg,"Magíster en Comunicación, Marketing y Negocios, UEES, Ecuador. | Master of Science in Marketing: Major in Strategic Marketing and Business Development, GFU, Estados Unidos.",Obtén tu doble titulación con GFU,"La Maestría en Comunicación, Marketing y Negocios está dirigida a profesionales de tercer nivel de grado debidamente registrado en el Sistema Nacional de Información de Educación Superior del Ecuador [SNIESE] preferentemente en el campo amplio de Administración de empresas y derecho; Ciencias sociales, periodismo e información. En los campos específicos de Educación comercial y administración; derecho; Ciencias sociales y del comportamiento; periodismo e información; tecnología de la información y la Comunicación (TIC); o afines. Para los campos amplios de Ingeniería, Industria y Construcción se solicitará al menos 1 año de experiencia profesional en el área del programa. En el caso de que el título de tercer nivel de grado sea obtenido en el exterior, el estudiante para inscribirse en el programa deberá presentarlo a la IES debidamente apostillado o legalizado por vía consular según el Art. 18 del RRA","La Maestría en Comunicación, Marketing y Negocios está dirigida a profesionales de tercer nivel de grado debidamente registrado en el Sistema Nacional de...",Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-comunicacion-marketing-y-negocios?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://webservices.uees.edu.ec/brochure/postgradoonline/Maestria%20en%20comunicacion%20marketing%20y%20negocios.pdf,GTM-58CRP56,Maestría en Comunicación Marketing y Negocios
maestria-en-contabilidad-y-auditoria-con-mencion-en-gestion-tributaria,Maestria en Contabilidad y Auditoria con mencion en Gestion Tributaria Online,RPC-SO-46-No.723-2022,/informacion/postgrado/maestria-en-contabilidad-y-auditoria-con-mencion-en-gestion-tributaria/images/background.jpg,Magíster en Contabilidad y Auditoría con mención en Gestión Tributaria,,"La Maestría en Contabilidad y Auditoría está dirigida a profesionales de tercer nivel de grado preferentemente en el campo de la Administración como: Ingenieros en Administración, Economistas, Ingenieros en Estadística e Informática, Ingenieros Comerciales, Ingenieros Industrial, Licenciados en Administración, Licenciados en Administración de Empresas, Licenciados en Economía, Licenciados en Comunicación, Licenciados en Publicidad, Auditores, Contador Público Autorizado. Para las otras áreas de conocimiento: Educación, Ciencias Sociales y del Comportamiento (Economía, Ciencias Políticas), Tecnologías de la Información y comunicación (TIC), Administración, (Gestión Financiera, Contabilidad y Auditoría, Administración, y Comercio), o Ingeniería, Industria y Construcción, se solicita 1 año de experiencia.",La Maestría en Contabilidad y Auditoría está dirigida a profesionales de tercer nivel de grado preferentemente en el campo de la Administración como:...,Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-contabilidad-y-auditoria-con-mencion-en-gestion-tributaria?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://webservices.uees.edu.ec/brochure/postgradoonline/Maestria%20en%20Contabilidad%20y%20Auditoria%20con%20mencion%20en%20Gestion%20Tributaria%20Online.pdf,GTM-58CRP56,Maestría en Contabilidad y Auditoría Con mención en Gestión Tributaria Online
maestria-en-criminalistica-y-ciencias-forenses,Maestria en Criminalistica y Ciencias Forenses,RPC-SO-32-No.736-2021,/informacion/postgrado/maestria-en-criminalistica-y-ciencias-forenses/images/background.jpg,Magíster en Criminalística Y Ciencias Forenses,,"La Maestría en Criminalística y Ciencias Forenses 100% en línea está dirigida a profesionales con título de tercer nivel en Derecho y dado el contexto socio político y legal en el cual el manejo de la prueba y el conocimiento científico sobre la criminalística y las ciencias forenses es desarrollado. Se entiende principalmente oportuno para operadores de justicia, fiscales, servidores judiciales, defensores públicos, funcionarios del Servicio Nacional de Medicina Legal y Ciencias Forenses (SNMLCF), peritos de la Policía Nacional, peritos acreditados ante el Consejo Nacional de la Judicatura y Abogados en libre ejercicio. Además, podrán acceder aquellos profesionales de tercer nivel cuya carrera tiene relación con la justicia.",La Maestría en Criminalística y Ciencias Forenses 100% en línea está dirigida a profesionales con título de tercer nivel en Derecho y dado el contexto socio...,Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-criminalistica-y-ciencias-forenses?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://uees.edu.ec/descargas/postgrado/maestria-en-criminalistica-y-ciencias-forenses.pdf,GTM-58CRP56,Maestría en Criminalística y Ciencias Forenses
maestria-en-derecho-administrativo-mencion-contratacion-publica,"Maestria en Derecho Administrativo, Mencion Contratacion Publica",RPC-SO-06-No.105-2022,/informacion/postgrado/maestria-en-derecho-administrativo-mencion-contratacion-publica/images/background.jpg,Magíster en Derecho Administrativo con mención en Contratación Pública,,"La Maestría en Derecho Administrativo con mención en Contratación Pública 100% en línea está dirigida a profesionales con título de tercer nivel de grado, preferentemente en derecho debidamente inscritos en la SENESCYT, que estén interesados en conocer, aprender y entender la importancia y aplicación del Derecho Administrativo y la Contratación Pública en las relaciones jurídicas y cotidianas de los ciudadanos con la Administración Pública. En especial, operadores de justicia, fiscales, servidores judiciales, defensores públicos, asesores legales y abogados en libre ejercicio. Además, podrán acceder aquellos profesionales de tercer nivel cuya carrera tiene relación con la justicia.","La Maestría en Derecho Administrativo con mención en Contratación Pública 100% en línea está dirigida a profesionales con título de tercer nivel de grado,...",Online,Postgrado,12 Meses,https://online.uees.edu.ec/postgrado/maestria-en-derecho-administrativo-mencion-contratacion-publica?utm_campaign=UEES_POSTGRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://uees.edu.ec/descargas/postgrado/maestria-en-derecho-administrativo-mencion-contratacion-publica.pdf,GTM-58CRP56,"Maestría en Derecho Administrativo, mención Contratación Pública"
